family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
nosematidae	0.0052397170552790149331936100	0.0192363181687025103395210200	0	0	0	0	0	0
sarcinochrysidales	0	0	0	0	0	0.0326363148938154183276219800	0	0
saccharomycetales	0	0	0	0	0	0	0.0391696043869956913435174300	0
microthrixaceae	0	0.0577089545061075310185630500	0	0	0	0	0	0
corynebacteriaceae	0.1047943411055802986638721500	0.2019813407713763585649706600	0.3001393504126916068174509600	0.0357917813122161823591257900	0.1028412895819381995599349500	0.1515257477212858708068163300	3.4883988848183221584756111600	0.0692688671076784539188861600
promicromonosporaceae	0	0	0.0178654375245649765962768400	0	0.0023916578972543767339519800	0	0	0.0034634433553839226959443100
desulfuromonadaceae	0	0	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1105965300338701873228727400	0
xanthomonadaceae	0.0314383023316740895991616500	0.0961815908435125516976050800	0.2000929002751277378783006400	0.0156589043240945797821175300	0.4615899741700947096527312700	0.7459729118586381332027880700	3.4676620354369714983525725200	0.0242441034876874588716101500
pleosporaceae	0	0.0577089545061075310185630500	0	0	0	0	0	0
burkholderiales	0.0419177364422321194655488600	0.0865634317591612965278445700	0.1893736377603887519205345300	0.0123034248260743126859494900	0.0884913421984119391562230900	2.5433013963680443853882555900	1.202737264118338287136241100	0.0242441034876874588716101500
hyphomicrobiaceae	0.0157191511658370447995808200	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0.037298645592931906660139400	0.4585147807654201516094099200	0.0138537734215356907837772300
zygaenidae	0	0	0.0071461750098259906385107400	0	0.0023916578972543767339519800	0	0.0207368493813506601230386400	0
leptolyngbyaceae	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
planctomycetaceae	0	0	0	0.0011184931660067556987226800	0	0	0.1774152669293334254971083600	0
chroococcales	0	0	0	0	0	0	0.0529941706412294647588765200	0
bradyrhizobiaceae	0.0052397170552790149331936100	0.0096181590843512551697605100	0	0.0011184931660067556987226800	0.1147995790682100832296948200	0.0046623306991164883325174300	0.6912283127116886707679546600	0.0034634433553839226959443100
rhodobacteraceae	0	0.0096181590843512551697605100	0	0.0044739726640270227948907200	0.0023916578972543767339519800	0.7389794158099634007040119400	0	0
chloroflexaceae	0	0	0.0393039625540429485118090500	0.0011184931660067556987226800	0.0263082368697981440734717300	0.0233116534955824416625871300	0.1958480219349784567175871500	0
dehalococcoidaceae	0	0	0	0.0011184931660067556987226800	0	0	0.0368655100112900624409575800	0
verrucomicrobia subdivision 3	0	0	0	0	0	0	0	0.0554150936861427631351089300
rhodospirillales	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0163181574469077091638109900	0.4838598188981820695375682600	0
synechococcaceae	0.0052397170552790149331936100	0	0	0	0.0071749736917631302018559300	0	0	0
acetobacteraceae	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0033554794980202670961680400	0	0	0.004608188751411257805119700	0.2147334880338032071485470900
geobacteraceae	0	0	0.0107192625147389859577661100	0	0	0	0.1681988894265109098868689700	0
ectothiorhodospiraceae	0	0	0	0	0	0	0.0253450381327619179281583400	0
cardiobacteriaceae	0	0	0	0	0.0430498421505787812111355600	0	0	0
phyllobacteriaceae	0.0576368876080691642651296800	0	0	0	0.0286998947670525208074237100	0.0536168030398396158239503900	0.0921637750282251561023939500	0
bacillales family x. incertae sedis	0.0209588682211160597327744300	0.0192363181687025103395210200	0.7074713259727730732125629800	0.0436212334742634722501845500	0.0167416052807806371376638300	0.0559479683893978599902091100	7.320107831616783023432639800	0.0380978769092231496553873900
eubacteriaceae	0	0	0	0.0011184931660067556987226800	0.0286998947670525208074237100	0.0069934960486747324987761400	0.3248773069744936752609386900	0
acidobacteriaceae	0	0	0	0	0	0	0.0645146425197576092716757700	0.0138537734215356907837772300
vibrionaceae	0	0	0	0	0	0.0396298109424901508263981200	0	0
debaryomycetaceae	0	0	0	0	0	0	0.0138245662542337734153590900	0
amanitaceae	0	0	0.0071461750098259906385107400	0	0	0	0.0023040943757056289025598500	0
burenellidae	21.660990306523447733822373590	46.561508127344426276810618450	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
