identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
uncultured candidatus competibacter sp.	0	0	0	0	0	0	0.1201117963643083177418982300	0
enterococcus villorum	0.0419177364422321194655488600	0.0288544772530537655092815200	1.9439679817038307604345340200	6.4627980850968636750033555500	0.0310915526643068975413756800	0.0256428188451406858288458400	0.0577460559443789989143741500	0.04502476361999099504727600
geodermatophilus spp.	0	0	0	0	0	0.0163181574469077091638109900	0.0023098422377751599565749700	0
sphingomonas faeni	0	0	0	0	0	0	0	0.0138537734215356907837772300
planctomycetaceae	0	0	0	0.0011185181871057223390452300	0	0	0.0970133739865567181761485700	0
blautia producta	0	0	0	0.0011185181871057223390452300	0	0.0069934960486747324987761400	0	0
sporocytophaga spp.	0	0	0	0.0011185181871057223390452300	0.0286998947670525208074237100	0	0	0
veillonella sp.	0	0	0	0.0022370363742114446780904700	0	0.0046623306991164883325174300	0.1293511653154089575681980900	0
acidovorax avenae	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0178673527730131503716409400	0.0022370363742114446780904700	0.0071749736917631302018559300	0.3286943142877124274424784900	0.528953872450511630055667200	0.0069268867107678453918886200
levilinea spp.	0	0	0	0	0	0	0.101633058462107038089298500	0
tepidimonas spp.	0.0261985852763950746659680400	0.0480907954217562758488025400	0.1322184105202973127501429400	0.0022370363742114446780904700	0.0167416052807806371376638300	0.0209804881460241974963284100	0.9216270528722888226734114100	0
lactobacillus pentosus	0	0	0.4431103487707261292166952500	0.0011185181871057223390452300	0.0023916578972543767339519800	0	0.0392673180421777192617744200	0.0034634433553839226959443100
alkalibacterium thalassios	0	0	0	0.0022370363742114446780904700	0	0	0.2263645393019656757443466600	0
deinococcus spp.	0	0	0	0	0	0	0	0.0138537734215356907837772300
pseudomonas tuomuerense	0	0	0	0	0.0023916578972543767339519800	0.0233116534955824416625871300	0	0
massilia	0	0	0	0	0	0	0	0.0415613202646070723513316900
corynebacterium diphtheriae	0.0157191511658370447995808200	0.1154179090122150620371260900	0.2429959977129788450543167500	0.0313185092389602254932665200	0.0119582894862718836697598800	0.0069934960486747324987761400	2.5593051994548772318850622500	0.0623419803969106085269975400
solobacterium moorei	0	0.0192363181687025103395210200	0	0.0011185181871057223390452300	0	0	0	0
salmonella enterica	38.522399790411317788839402670	29.662402616139270943541406170	0.11435105774728416237850200	0.1375777370140038477025636400	1.1647373959628814694346120700	0.3566682984824113574375830500	0.1570692721687108770470976800	0.1593183943476604440134381600
tepidiphilus petrobacter sp.	0	0	0.0107204116638078902229845600	0.0044740727484228893561809300	0.0023916578972543767339519800	0.0069934960486747324987761400	0.9077679994456378629339616100	0.0069268867107678453918886200
lysobacter sp.	0.0052397170552790149331936100	0	0.0035734705546026300743281900	0.003355554561317167017135700	0.0071749736917631302018559300	0.6853626127701237848800615400	0	0
pediococcus pentosaceus	0	0	0	0.0011185181871057223390452300	0	0	0	0.0138537734215356907837772300
