species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
pseudomonas putida	0.0209588682211160597327744300	0.0480907954217562758488025400	0	0.0067109589960405341923360800	0.2678656844924901942026212600	0.1422010863230528941417814800	0.5921522545563466279578811500	0.0623419803969106085269975400
novosphingobium sp.	0	0.0096181590843512551697605100	0	0	0	0	0.1728070781779221676919886600	0
enterococcus hirae	0	0	0.0071461750098259906385107400	0.0078294521620472898910587700	0	0	0	0
prosthecobacter debontii	0	0	0	0	0	0.0093246613982329766650348500	0	0
ankylochrysis lutea	0	0	0	0	0	0.0326363148938154183276219800	0	0
aridibacter acidobacteria bacterium	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.5483744614179396788092440300	0
lactococcus lactis	0.0314383023316740895991616500	0.0288544772530537655092815200	0	0.0033554794980202670961680400	0	0.0256428188451406858288458400	0.0529941706412294647588765200	0
clostridium sp.	0	0	0	0	0	0	0.0506900762655238358563166700	0
geobacter spp.	0	0	0	0	0	0	0.1681988894265109098868689700	0
cryocola spp.	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0357308750491299531925536900	0.0044739726640270227948907200	0.0071749736917631302018559300	0	0.5760235939264072256399622100	0.0588785370415266858310532300
nosema furnacalis	0.0052397170552790149331936100	0.0192363181687025103395210200	0	0	0	0	0	0
enterococcus lactis	0	0	0.0821810126129988923428734800	0.1252712345927566382569402500	0	0	0	0.0034634433553839226959443100
dolosigranulum pigrum	0	0.0096181590843512551697605100	0	0	0	0	0	0.0242441034876874588716101500
peptoniphilus asaccharolyticus	0.0314383023316740895991616500	0	0	0	0.1315411843489907203673586500	0.0093246613982329766650348500	0	0
rufibacter sp.	0	0	0.1464965877014328080894701100	0	0	0	0	0
spiroplasma spp.	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
thermomonas fusca	0	0.0673271135904587861883235500	0	0	0	0	0	0
roseburia spp.	0.0209588682211160597327744300	0	0	0	0	0	0	0.0034634433553839226959443100
nubsella zeaxanthinifaciens	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0815907872345385458190549500	0.4262574595055413469735720400	0
acidovorax avenae	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0178654375245649765962768400	0.0022369863320135113974453600	0.0071749736917631302018559300	0.3286943142877124274424784900	0.5276376120365890186862053900	0.0069268867107678453918886200
coniothyrium palmarum	0	0	0	0	0	0	0.1105965300338701873228727400	0
roseovarius sp.	0	0	0	0	0	0.0396298109424901508263981200	0	0
pseudoxanthomonas taiwanensis	0.0104794341105580298663872200	0.0096181590843512551697605100	0.057169400078607925108085900	0.0022369863320135113974453600	0.0119582894862718836697598800	0.0069934960486747324987761400	1.1566553766042257090850441200	0.0069268867107678453918886200
ignavibacterium spp.	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
rhodopseudomonas spp.	0	0	0	0	0.0263082368697981440734717300	0	0	0
methylobacterium adhaesivum	0.0733560387739062090647105100	0.0769452726748100413580840600	0.0214385250294779719155322100	0.0592801377983580520323020800	0.0382665263560700277432316100	0.0722661258363055691540200900	0.0691228312711688670767954700	7.1000588785370415266858310500
salmonella enterica	38.600995546240503012837306790	29.825911320573242281427334810	0.1143388001572158502161717900	0.1375746594188309509428897400	1.1647373959628814694346120700	0.3589994638319696016038417600	0.1612866062993940231791894200	0.1593183943476604440134381600
chelatococcus sp.	0	0	0.0107192625147389859577661100	0	0	0	0	0
frigoribacterium sp.	0.0052397170552790149331936100	0	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0.0139869920973494649975522800	0.0115204718785281445127992400	0.0831226405292141447026633900
alkalibacterium thalassios	0	0	0	0.0022369863320135113974453600	0	0	0.2258012488191516324508651900	0
micavibrio sp.	0	0	0	0	0	0	0.0783392087739913826870348600	0
laceyella sp.	0	0.0769452726748100413580840600	0	0	0	0	0	0
tepidimonas spp.	0.0261985852763950746659680400	0.0480907954217562758488025400	0.1322042376817808268124486400	0.0022369863320135113974453600	0.0167416052807806371376638300	0.0209804881460241974963284100	0.9193336559065459321213796900	0
actinomyces sp.	0	0.0288544772530537655092815200	0.0071461750098259906385107400	0.0067109589960405341923360800	0.0047833157945087534679039500	0.0023311653495582441662587100	0.7465265777286237644293910300	0.0034634433553839226959443100
nocardioides caeni	0.0104794341105580298663872200	0	0	0	0.0023916578972543767339519800	0	0	0
corynebacterium glucuronolyticum	0	0	0	0	0	0.0093246613982329766650348500	0	0
candidatus alysiosphaera europeae	0.0052397170552790149331936100	0	0	0	0	0	0	0.0623419803969106085269975400
variovorax paradoxus	0.0366780193869531045323552500	0.0480907954217562758488025400	0.0357308750491299531925536900	0.0167773974901013354808402100	0.0406581842533244044771835800	0.2098048814602419749632841500	0.0783392087739913826870348600	6.2134173795587573165240882500
pinus taeda	0	0	0	0	0	0	0	0.0415613202646070723513316900
prevotella sp.	0	0	0	0	0.0023916578972543767339519800	0	0.103684246906753300615193200	0
rattus norvegicus	0	0	0	0	0	0.0093246613982329766650348500	0	0
lactobacillus agilis	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0	0.0519516503307588404391646200
porphyromonas spp.	0	0	0	0	0.0023916578972543767339519800	0.0279739841946989299951045500	0	0
fluviicola spp.	0.0314383023316740895991616500	0	0.0357308750491299531925536900	0	0	0	0	0
xanthobacter autotrophicus	0	0	0	0	0	0	0.0207368493813506601230386400	0
vairimorpha cheracis	21.660990306523447733822373590	46.561508127344426276810618450	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
sediminibacterium salmoneum	0	0	0	0.0033554794980202670961680400	0	0.2167983775089167074620602800	0.6405382364461648349116379800	0.0069268867107678453918886200
flavisolibacter ginsengisoli	0	0	0	0	0.0119582894862718836697598800	0	0	0
helcobacillus massiliensis	0	0.0288544772530537655092815200	0	0	0	0	0	0
roseomonas sp.	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0022369863320135113974453600	0	0	0.0023040943757056289025598500	0.1974162712568835936688255500
rhodopila spp.	0	0	0	0	0	0	0.0023040943757056289025598500	0.0069268867107678453918886200
actinomyces cardiffensis	0.0052397170552790149331936100	0.0480907954217562758488025400	0	0.0011184931660067556987226800	0	0	0.108292435658164558420312900	0
levilinea saccharolytica	0	0	0	0	0	0	0.099076058155342042810073500	0
lactobacillus gallinarum	0	0.0192363181687025103395210200	0.0357308750491299531925536900	0.0067109589960405341923360800	0.0645747632258681718167033400	0	0	0.04502476361999099504727600
sporocytophaga spp.	0	0	0	0.0011184931660067556987226800	0.0286998947670525208074237100	0	0	0
iamia spp.	0	0	0	0	0	0.0023311653495582441662587100	0.094467869403930785004953800	0.0034634433553839226959443100
kocuria rhizophila	0.0157191511658370447995808200	0	0	0	0	0.0396298109424901508263981200	0	0
roseomonas spp.	0	0	0	0.0011184931660067556987226800	0	0	0	0.0103903300661517680878329200
rhizobium sp.	0	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0559479683893978599902091100	0.3525264394829612220916568700	0.0034634433553839226959443100
williamsia muralis	0	0	0	0	0	0.0326363148938154183276219800	0	0
cupriavidus respiraculi	0	0	0	0.0011184931660067556987226800	0	0.0862531179336550341515723700	0.4400820257597751203889311300	0
geoalkalibacter spp.	0	0	0.0107192625147389859577661100	0	0	0	0	0
staphylococcus epidermidis	0.5868483101912496725176840500	0.1923631816870251033952101600	0.0786079251080858970236181100	0.0223698633201351139744536200	0.6887974744092604993781689500	0.1911555586637760216332144400	1.0829243565816455842031289600	0.0277075468430713815675544600
pseudomonas thermotolerans	0	0	0.0464501375638689391503197900	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.2419299094490910347687841300	0
jeotgalicoccus halotolerans	0	0.0384726363374050206790420300	0	0	0	0	0	0
anaerococcus sp.	0	0	0.0107192625147389859577661100	0	0	0	0	0
methylothermus spp.	0	0	0	0	0	0	0.0184327550056450312204787900	0
alkalibacter spp.	0	0	0	0.0011184931660067556987226800	0	0.0069934960486747324987761400	0.3248773069744936752609386900	0
prevotella spp.	0	0.0288544772530537655092815200	0	0	0	0	0	0
micavibrio aeruginosavorus	0	0	0	0	0	0	0.0967719637796364139075136500	0
polynucleobacter spp.	0	0.0096181590843512551697605100	0	0	0.09805797378742944609203100	0	0	0
thermicanus aegyptius	0.0209588682211160597327744300	0.0192363181687025103395210200	0.7074713259727730732125629800	0.0436212334742634722501845500	0.0167416052807806371376638300	0.0559479683893978599902091100	7.320107831616783023432639800	0.0380978769092231496553873900
halotalea alkalilenta	0.068116321718627194131516900	0.0673271135904587861883235500	0	0	0	0	0	0
rhodococcus yunnanensis	0.0209588682211160597327744300	0	0	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0349674802433736624938806900	0.2004562106863897145227068500	0.0103903300661517680878329200
leucobacter luti	0	0	0	0	0	0	0.0069122831271168867076795500	0
synechococcus spp.	0.0052397170552790149331936100	0	0	0	0.0071749736917631302018559300	0	0	0
photobacterium phosphoreum	0	0	0	0	0	0.0396298109424901508263981200	0	0
bradyrhizobium sp.	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.2188889656920347457431856400	0
solobacterium moorei	0	0.0192363181687025103395210200	0	0.0011184931660067556987226800	0	0	0	0
tepidiphilus petrobacter sp.	0	0	0.0107192625147389859577661100	0.0044739726640270227948907200	0.0023916578972543767339519800	0.0069934960486747324987761400	0.905509089652312158706020600	0.0069268867107678453918886200
thiomicrospira spp.	0	0	0	0.0011184931660067556987226800	0	0	0.0529941706412294647588765200	0
sphingomonas faeni	0	0	0	0	0	0	0	0.0138537734215356907837772300
adhaeribacter spp.	0	0	0	0.0011184931660067556987226800	0	0	0	0.0069268867107678453918886200
veillonella sp.	0	0	0	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0.1290292850395152185433515400	0
burkholderia ubonensis	0.0104794341105580298663872200	0.0384726363374050206790420300	0	0	0	0	0	0.0034634433553839226959443100
actinomadura sp.	0	0	0	0	0	0	0.0368655100112900624409575800	0
actinomyces neuii	0	0	0	0	0	0	0.0414736987627013202460772800	0
virgibacillus sp.	0	0	0	0	0	0	0.1589825119236883942766295700	0
bacillus sp.	0.0104794341105580298663872200	0.0096181590843512551697605100	0.0250116125343909672347875800	0.0201328769881216025770082500	0.0071749736917631302018559300	0.0139869920973494649975522800	4.7049607151908942190272113500	0.0103903300661517680878329200
daeguia caeni	0	0.0096181590843512551697605100	0.0821810126129988923428734800	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.3387018732287274486762977800	0
bacteroides dorei	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.0023040943757056289025598500	0
cyanobacterium spp.	0	0	0	0	0	0	0.0115204718785281445127992400	0
hyphomicrobium facile	0.0157191511658370447995808200	0	0	0	0	0.0303051495442571741613632700	0	0
exiguobacterium panipatensis	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1751111725536277965945485100	0
sphingobium sp.	0	0	0	0.0011184931660067556987226800	0	0.1958178893628925099657318700	0.0023040943757056289025598500	0.0034634433553839226959443100
pseudomonas tuomuerense	0	0	0	0	0.0023916578972543767339519800	0.0233116534955824416625871300	0	0
dietzia spp.	0.0314383023316740895991616500	0	0.2465430378389966770286204300	0.0011184931660067556987226800	0.0502248158423419114129914900	0	0.004608188751411257805119700	0.0069268867107678453918886200
dokdonella sp.	0	0	0	0	0	0.0139869920973494649975522800	0	0
sphingomonas sp.	0.0052397170552790149331936100	0	0.0214385250294779719155322100	0.0078294521620472898910587700	0.0071749736917631302018559300	1.7623610042660325896915868200	0.0437777931384069491486371300	0.0173172167769196134797215400
rhodopseudomonas palustris	0	0	0	0	0	0	0.2050643994378009723278265500	0
lewinella spp.	0	0.0096181590843512551697605100	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.19815211631068408562014700	0
stenotrophomonas maltophilia	0.0104794341105580298663872200	0.0192363181687025103395210200	0.0107192625147389859577661100	0.0044739726640270227948907200	0.4376733951975509423132115200	0.018649322796465953330069700	0.6727955577060436395474758600	0.0103903300661517680878329200
mycoplana sp.	0	0	0.0071461750098259906385107400	0	0	0.0466233069911648833251742500	0.207368493813506601230386400	0
lactobacillus pentosus	0	0	0.443062850609211419587665700	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.0391696043869956913435174300	0.0034634433553839226959443100
methanobacterium beijingense	0	0	0.0035730875049129953192553700	0	0	0	0.3133568350959655307481394400	0
dechloromonas spp.	0	0	0.0250116125343909672347875800	0	0	0	0	0
mesorhizobium spp.	0	0	0	0	0.0286998947670525208074237100	0	0	0
uncultured candidatus microthrix sp.	0	0.0577089545061075310185630500	0	0	0	0	0	0
isoptericola spp.	0	0	0.0178654375245649765962768400	0	0.0023916578972543767339519800	0	0	0.0034634433553839226959443100
enterococcus villorum	0.0419177364422321194655488600	0.0288544772530537655092815200	1.9794904777217994068674741800	6.4995637876652573652774981500	0.0310915526643068975413756800	0.0256428188451406858288458400	0.0599064537683463514665560700	0.04502476361999099504727600
paracoccus denitrificans	0	0	0	0.0033554794980202670961680400	0.0023916578972543767339519800	0.6154276522833764598923001600	0	0
methylophilus spp.	0.0052397170552790149331936100	0	0	0	0.0502248158423419114129914900	0	0	0
neisseria sicca	0	0.0192363181687025103395210200	0.0285847000393039625540429500	0	0	0	0	0
conexibacter spp.	0	0	0	0	0.0334832105615612742753276600	0.0046623306991164883325174300	0.0023040943757056289025598500	0
aphanothece stagnina	0	0	0	0	0	0	0.0529941706412294647588765200	0
sphingomonas caulobacter leidyia	0	0	0	0	0.0071749736917631302018559300	0.0209804881460241974963284100	0	0.0069268867107678453918886200
dokdonella spp.	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0033554794980202670961680400	0.0047833157945087534679039500	0.0046623306991164883325174300	1.0368424690675330061519319800	0.0069268867107678453918886200
deinococcus spp.	0	0	0	0	0	0	0	0.0138537734215356907837772300
clostridium spp.	0	0.0192363181687025103395210200	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0046623306991164883325174300	0.6727955577060436395474758600	0.0034634433553839226959443100
flavisolibacter spp.	0	0	0	0.0011184931660067556987226800	0.0908830000956663158901750700	0.0139869920973494649975522800	0.4631229695168314094145296200	0
methylobacterium sp.	0	0	0	0	0	0.0116558267477912208312935600	0	0
burkholderia glathei	0.0052397170552790149331936100	0.0096181590843512551697605100	0	0	0.0358748684588156510092796300	0	0.0115204718785281445127992400	0.0103903300661517680878329200
blautia producta	0	0	0	0.0011184931660067556987226800	0	0.0069934960486747324987761400	0	0
methanobacterium subterraneum	0	0	0	0	0	0	0.1313333794152208474459113800	0
corynebacterium lipophiloflavum	0	0	0	0.0011184931660067556987226800	0.0406581842533244044771835800	0	0	0
pedomicrobium spp.	0	0	0	0	0	0	0.1681988894265109098868689700	0
aquimonas sp.	0	0	0	0.0011184931660067556987226800	0	0	0.3133568350959655307481394400	0
olsenella sp.	0	0	0	0	0	0	0.0184327550056450312204787900	0
hymenobacter spp.	0	0	0	0.0011184931660067556987226800	0	0	0.0023040943757056289025598500	0.1073667440169016035742735400
adhaeribacter sp.	0	0	0	0.0011184931660067556987226800	0	0.0536168030398396158239503900	0	0
fusobacterium spp.	0	0.0384726363374050206790420300	0	0	0	0	0	0
paludibacter spp.	0.0366780193869531045323552500	0	0	0	0	0.0139869920973494649975522800	0	0
haemophilus influenzae	0.0471574534975111343987424700	0	0	0	0	0	0	0
alkalibacterium iburiense	0	0	0	0	0	0.0326363148938154183276219800	0	0
enhydrobacter aerosaccus	0.0104794341105580298663872200	0.1731268635183225930556891400	0	0	0	0	0.0023040943757056289025598500	0.0173172167769196134797215400
lentzea spp.	0	0	0	0.0011184931660067556987226800	0.0358748684588156510092796300	0	0	0
cloacibacterium spp.	0	0.0577089545061075310185630500	0.4859399006681673634187301200	0.0178958906561080911795628900	0.0023916578972543767339519800	0.0046623306991164883325174300	1.108269394714407502131287300	0.0554150936861427631351089300
blautia ruminococcus gnavus	0.0157191511658370447995808200	0	0	0	0	0	0	0
longilinea spp.	0	0	0.0071461750098259906385107400	0.0100664384940608012885041300	0	0	1.1681758484827538535978433700	0
sphingopyxis sp.	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
burkholderia spp.	0	0.0384726363374050206790420300	0	0	0	0	0.1290292850395152185433515400	0
rhodoplanes spp.	0	0	0	0	0	0	0.0391696043869956913435174300	0
enterococcus mundtii	0.0052397170552790149331936100	0	0.1000464501375638689391503200	0.0805315079524864103080330200	0	0	0.0023040943757056289025598500	0.0034634433553839226959443100
legionella spp.	0	0	0	0	0	0.0116558267477912208312935600	0	0
eterusia aedea	0	0	0.0071461750098259906385107400	0	0.0023916578972543767339519800	0	0.0207368493813506601230386400	0
candidatus soleaferrea massiliensis	0	0	0	0.0011184931660067556987226800	0	0	0.1751111725536277965945485100	0
strongyloides stercoralis	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
spumella sp.	0	0	0	0	0	0.0069934960486747324987761400	0	0
xanthomonas sp.	0	0	0.0857541001179118876621288500	0	0	0	0	0
haliscomenobacter spp.	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0	0.0023916578972543767339519800	0.0046623306991164883325174300	0.603672726434874772470680400	0
ethanoligenens spp.	0	0.0384726363374050206790420300	0	0	0	0	0	0.0069268867107678453918886200
alkanindiges illinoisensis	0	0	0	0.0067109589960405341923360800	0	1.0327062498543021656526097400	0.0299532268841731757332780400	0.0034634433553839226959443100
pediococcus pentosaceus	0	0	0	0.0011184931660067556987226800	0	0	0	0.0138537734215356907837772300
lysobacter sp.	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0033554794980202670961680400	0.0071749736917631302018559300	0.6853626127701237848800615400	0	0
zea mays	0	0	0	0	0	0	0	0.0311709901984553042634987700
blastococcus aggregatus	0	0	0	0	0	0.0069934960486747324987761400	0	0.0103903300661517680878329200
enterococcus rivorum	0	0	0.0321577875442169578732983200	0.05256917880231751783996600	0	0	0	0
devosia submarina	0	0	0	0	0	0.0069934960486747324987761400	0.0023040943757056289025598500	0.0103903300661517680878329200
ruminococcus spp.	0	0	0	0.0011184931660067556987226800	0	0	0.0138245662542337734153590900	0
alternaria sp.	0	0.0577089545061075310185630500	0	0	0	0	0	0
salinisphaera spp.	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.090915448632771522484089800	0	0.0207806601323035361756658500
corynebacterium diphtheriae	0.0157191511658370447995808200	0.1154179090122150620371260900	0.2429699503340836817093650600	0.0313178086481891595642350600	0.0119582894862718836697598800	0.0069934960486747324987761400	2.5529365682818368240363125300	0.0623419803969106085269975400
arthrobacter spp.	0.0419177364422321194655488600	0.0865634317591612965278445700	0.0250116125343909672347875800	0.0615171241303715634297474400	0.019133263178035013871615800	0.1445322516726111383080401900	0.193543927559272827815027300	3.141343123333217885221487200
