genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
aquabacterium	0.0157191511658370447995808200	0.0384726363374050206790420300	0.057169400078607925108085900	0.0100664384940608012885041300	0.0717497369176313020185592700	2.5223209082220201878919271700	0.2834036082117923550148614100	0.0242441034876874588716101500
blastococcus	0	0	0	0	0	0.0069934960486747324987761400	0	0.0103903300661517680878329200
acidobacterium	0	0	0	0	0	0	0.0645146425197576092716757700	0.0138537734215356907837772300
xanthomonas	0	0	0.0857541001179118876621288500	0	0	0	0	0
cytophaga	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0093246613982329766650348500	0.4308656482569526047786917400	0
elizabethkingia	0	0	0	0	0	0	0.0115204718785281445127992400	0
rhizobium	0	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0.0047833157945087534679039500	0.0769284565354220574865375200	0.3525264394829612220916568700	0.0034634433553839226959443100
lewinella	0	0.0096181590843512551697605100	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.19815211631068408562014700	0
verrucomicrobium	0	0	0.0250116125343909672347875800	0	0	0.018649322796465953330069700	0	0
amanita	0	0	0.0071461750098259906385107400	0	0	0	0.0023040943757056289025598500	0
kaistobacter	0	0.0288544772530537655092815200	0	0.0011184931660067556987226800	0.1219745527599732134315507500	0	0	0
novosphingobium	0	0.0096181590843512551697605100	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0582791337389561041564678200	0.5414621782908227921015644800	0
hymenobacter	0	0	0	0.0011184931660067556987226800	0	0	0.0023040943757056289025598500	0.1281474041492051397499393900
helcobacillus	0	0.0288544772530537655092815200	0	0	0	0	0	0
alkanindiges	0	0	0	0.0067109589960405341923360800	0	1.0327062498543021656526097400	0.0299532268841731757332780400	0.0034634433553839226959443100
flavisolibacter	0	0	0	0.0011184931660067556987226800	0.1028412895819381995599349500	0.0139869920973494649975522800	0.4631229695168314094145296200	0
flavobacterium	0	0	0	0	0	0.0093246613982329766650348500	0	0
olsenella	0	0	0	0	0	0	0.0184327550056450312204787900	0
isoptericola	0	0	0.0178654375245649765962768400	0	0.0023916578972543767339519800	0	0	0.0034634433553839226959443100
xanthobacter	0	0	0	0	0	0	0.0207368493813506601230386400	0
spumella	0	0	0	0	0	0.0069934960486747324987761400	0	0
paracoccus	0	0	0	0.0033554794980202670961680400	0.0023916578972543767339519800	0.6154276522833764598923001600	0	0
methylothermus	0	0	0	0	0	0	0.0184327550056450312204787900	0
salmonella	38.600995546240503012837306790	29.825911320573242281427334810	0.1143388001572158502161717900	0.1375746594188309509428897400	1.1647373959628814694346120700	0.3589994638319696016038417600	0.1612866062993940231791894200	0.1593183943476604440134381600
jeotgalicoccus	0	0.0384726363374050206790420300	0	0	0	0	0	0
acinetobacter	0.0995546240503012837306785400	0.1346542271809175723766471100	0.0107192625147389859577661100	0.0078294521620472898910587700	0.7916387639911986989381038900	0.0489544723407231274914329700	0.4124328932513075735582129400	0.0380978769092231496553873900
moorella	0	0	0	0.0022369863320135113974453600	0	0	0.1105965300338701873228727400	0
rhodopila	0	0	0	0	0	0	0.0023040943757056289025598500	0.0069268867107678453918886200
iamia	0	0	0	0	0	0.0023311653495582441662587100	0.094467869403930785004953800	0.0034634433553839226959443100
knoellia	0	0.0096181590843512551697605100	0.0071461750098259906385107400	0	0	0.0209804881460241974963284100	0	0.0034634433553839226959443100
desulfobacula	0	0	0	0	0	0.0396298109424901508263981200	0	0
alloscardovia	0	0	0	0	0	0.0209804881460241974963284100	0	0
rattus	0	0	0	0	0	0.0093246613982329766650348500	0	0
pinus	0	0	0	0	0	0	0	0.0415613202646070723513316900
candidatus microthrix	0	0.0577089545061075310185630500	0	0	0	0	0	0
erythrobacter	0	0	0.0035730875049129953192553700	0.0044739726640270227948907200	0	0.0046623306991164883325174300	0.19815211631068408562014700	0
roseomonas	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0033554794980202670961680400	0	0	0.0023040943757056289025598500	0.2078066013230353617566584700
anoxybacillus	0.0104794341105580298663872200	0.0192363181687025103395210200	0.2929931754028656161789402200	0.0503321924703040064425206400	0.1291495264517363436334066800	0.0093246613982329766650348500	3.1381765397110665652865141400	0.0588785370415266858310532300
bdellovibrio	0	0	0	0.0011184931660067556987226800	0	0.0093246613982329766650348500	0.0898596806525195271998341100	0
ruminococcus	0	0.0096181590843512551697605100	0	0.0123034248260743126859494900	0.009566631589017506935807900	0.0046623306991164883325174300	1.7280707817792216769198866400	0.0069268867107678453918886200
corynebacterium	0.1047943411055802986638721500	0.2019813407713763585649706600	0.3001393504126916068174509600	0.0357917813122161823591257900	0.1028412895819381995599349500	0.1515257477212858708068163300	3.4883988848183221584756111600	0.0692688671076784539188861600
plautia	0	0	0	0	0.0023916578972543767339519800	0	0.004608188751411257805119700	0
rhodocista	0	0	0	0	0	0.1328764249248199174767466300	0	0
eubacterium	0	0	0	0	0.0286998947670525208074237100	0	0	0
cardiobacterium	0	0	0	0	0.0430498421505787812111355600	0	0	0
thiorhodospira	0	0	0	0	0	0	0.0253450381327619179281583400	0
bellilinea	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0.0047833157945087534679039500	0.0023311653495582441662587100	0.4539065920140088938042902200	0
aquimonas	0	0	0	0.0011184931660067556987226800	0	0	0.3133568350959655307481394400	0
frigoribacterium	0.0052397170552790149331936100	0	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0.0139869920973494649975522800	0.0115204718785281445127992400	0.0831226405292141447026633900
polynucleobacter	0	0.0096181590843512551697605100	0	0	0.09805797378742944609203100	0	0	0
pedosphaera	0	0	0	0	0	0	0	0.0554150936861427631351089300
candida	0	0	0	0	0	0	0.0529941706412294647588765200	0
acidovorax	0.0419177364422321194655488600	0.0096181590843512551697605100	0.192946725265301747239789900	0.0067109589960405341923360800	0.0119582894862718836697598800	0.806583210947152481525514600	0.5391580839151171631990046300	0.0103903300661517680878329200
marchantia	0	0	0	0	0.0143499473835262604037118500	0	0	0
sporocytophaga	0	0	0	0.0011184931660067556987226800	0.0286998947670525208074237100	0	0	0
siphonobacter	0.0261985852763950746659680400	0	0	0	0	0	0	0
