genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
crocinitomix	0	0	0	0.0033610056128793735085537600	0	0	0.2066883418485833720390153300	0
atopostipes	0.0334963488979701212567830100	0.1626016260162601626016260200	0.2447716064936467369785104900	0.0145643576558106185370662900	0.6224366706875753920386007200	0.2006954330120650626589811200	0.2113330236878773803994426400	0.0069357747260368983215425200
burkholderia	0.0200978093387820727540698100	0.1626016260162601626016260200	0	0	0.0361881785283474065138721400	0	0.1416627960984672549930329800	0.0138715494520737966430850300
roseburia	0.0267970791183760970054264100	0	0	0	0	0	0	0.0034678873630184491607712600
nubsella	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0816783739002590371286551100	0.4296330701346957733395262400	0
candidatus soleaferrea	0	0	0	0.0011203352042931245028512500	0	0	0.1764979098931723176962378100	0
arthrobacter	0.0535941582367521940108528200	0.1626016260162601626016260200	0.0251970771390518699830819600	0.0616184362361218476568189200	0.0193003618817852834740651400	0.1446874051947445800564747600	0.1950766372503483511379470500	3.1453738382577333888195311400
cupriavidus	0	0	0	0.0011203352042931245028512500	0	0.0863457095517024106788639700	0.4435671156525777984208081700	0
streptococcus	0.3818583774368593823273263200	0.5239385727190605239385727200	0.413951981570137864007775100	0.0078423464300518715199587700	0.2605548854041013268998793700	0.2497024573522204849361741800	0.7965629354389224338132837900	0.0450825357192398390900263600
rubrobacter	0	0	0	0	0	0	0.0441244774732930794240594500	0
methylophilus	0.006699269779594024251356600	0	0	0	0.0506634499396863691194209900	0	0	0
thermus	0	0	0	0	0	0	0.0092893636785880167208546200	0
modestobacter	0	0.0180668473351400180668473400	0	0.0078423464300518715199587700	0	0.0023336678257216867751044300	0.0069670227589410125406409700	0.3155777500346788736301844900
pediococcus	0	0	0	0.0011203352042931245028512500	0	0	0	0.0138715494520737966430850300
massilia	0.5359415823675219401085281700	0.9033423667570009033423667600	0.2699686836326986069615924600	0.3148141924063679853012021200	0.535585042219541616405307600	0.4667335651443373550208863300	0.2670692057594054807245703700	66.267859619919545013177971980
