species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
bradyrhizobium spp.	0.006699269779594024251356600	0	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1695308871342313051555968400	0
methylobacterium thiocyanatum	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0420060208629903619518797700	0	0
crocinitomix spp.	0	0	0	0.0033610056128793735085537600	0	0	0.2066883418485833720390153300	0
rhizobium mongolense	0	0	0	0	0.0024125452352231604342581400	0.0210030104314951809759398800	0	0
enterococcus faecalis	3.4769210156092985864540765100	2.0776874435411020776874435400	83.43112198984917749541053238	81.68700075062458687639341691	0.6272617611580217129071170100	0.3570511773354180765909780400	0.7826288899210404087320018600	0.447357469829379941739492300
sandaracinobacter sibiricus	0	0	0	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0
sphingobacterium faecium	0	0	0	0	0	0	0.0069670227589410125406409700	0
natronobacillus azotifigens	0	0	0	0	0	0.0256703460829385545261487500	0	0
bosea sp.	0	0	0	0	0.0868516284680337756332931200	0.0023336678257216867751044300	0.0998606595448211797491871800	0.0034678873630184491607712600
thermomonas spp.	0	0	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.2902926149558755225267069200	0
aquabacterium spp.	0.0200978093387820727540698100	0.0722673893405600722673893400	0.0575933191749757028184730600	0.0100830168386381205256612800	0.0723763570566948130277442700	2.5250285874308650906629950300	0.2856479331165815141662796100	0.0242752115411291441253988100
tistrella spp.	0	0	0	0	0	0	0.0441244774732930794240594500	0
pseudomonas putida	0.0267970791183760970054264100	0.0903342366757000903342366800	0	0.0067220112257587470171075200	0.2702050663449939686369119400	0.1423537373690228932813703300	0.5968416163492800743149094300	0.0624219725343320848938826500
novosphingobium sp.	0	0.0180668473351400180668473400	0	0	0	0	0.1741755689735253135160241500	0
enterococcus hirae	0	0	0.0071991648968719628523091300	0.0078423464300518715199587700	0	0	0	0
