identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
sphingomonas sp.	0.006699269779594024251356600	0	0.0215982721382289416846652300	0.0078425221551250882283742500	0.0072376357056694813027744300	1.7642528762455952019789503200	0.0442343957348730007217190900	0.0173394368150922458038562900
uncultured candidatus competibacter sp.	0	0	0	0	0	0	0.1210625567480734756594417200	0
enterococcus villorum	0.0535941582367521940108528200	0.0542005420054200542005420100	1.9582433405327573794096472300	6.4734418589018228262209126500	0.0313630880579010856453558500	0.0256703460829385545261487500	0.0582031522827276325285777500	0.0450825357192398390900263600
geodermatophilus spp.	0	0	0	0	0	0.0163356747800518074257310200	0.0023281260913091053011431100	0
sphingomonas faeni	0	0	0	0	0	0	0	0.0138715494520737966430850300
planctomycetaceae	0	0	0	0.0011203603078750126040534600	0	0	0.0977812958349824226480106200	0
blautia producta	0	0	0	0.0011203603078750126040534600	0	0.0070010034771650603253132900	0	0
sporocytophaga spp.	0	0	0	0.0011203603078750126040534600	0.0289505428226779252110977100	0	0	0
veillonella sp.	0	0	0	0.0022407206157500252081069300	0	0.0046673356514433735502088600	0.1303750611133098968640141600	0
acidovorax avenae	0.006699269779594024251356600	0.0180668473351400180668473400	0.0179985601151907847372210200	0.0022407206157500252081069300	0.0072376357056694813027744300	0.3290471634267578352897248600	0.5331408749097851139617721700	0.0069357747260368983215425200
levilinea spp.	0	0	0	0	0	0	0.1024375480176006332502968400	0
tepidimonas spp.	0.0334963488979701212567830100	0.0903342366757000903342366800	0.1331893448524118070554355700	0.0022407206157500252081069300	0.01688781664656212303980700	0.0210030104314951809759398800	0.9289223104323330151561008500	0
lactobacillus pentosus	0	0	0.4463642908567314614830813500	0.0011203603078750126040534600	0.0024125452352231604342581400	0	0.0395781435522547901194328700	0.0034678873630184491607712600
alkalibacterium thalassios	0	0	0	0.0022407206157500252081069300	0	0	0.2281563569482923195120247700	0
deinococcus spp.	0	0	0	0	0	0	0	0.0138715494520737966430850300
pseudomonas tuomuerense	0	0	0	0	0.0024125452352231604342581400	0.0233366782572168677510443200	0	0
massilia	0	0	0	0	0	0	0	0.041614648356221389929255100
corynebacterium diphtheriae	0.0200978093387820727540698100	0.2168021680216802168021680200	0.244780417566594672426205900	0.0313700886205003529134969800	0.0120627261761158021712907100	0.0070010034771650603253132900	2.5795637091704886736665657800	0.0624219725343320848938826500
solobacterium moorei	0	0.0361336946702800361336946700	0	0.0011203603078750126040534600	0	0	0	0
salmonella enterica	49.253031419575266295973738860	55.718157181571815718157181570	0.1151907847372210223182145400	0.1378043178686265502985760200	1.1749095295536791314837153200	0.3570511773354180765909780400	0.1583125742090191604777314700	0.1595228186988486613954778700
tepidiphilus petrobacter sp.	0	0	0.0107991360691144708423326100	0.0044814412315000504162138500	0.0024125452352231604342581400	0.0070010034771650603253132900	0.9149535538844783833492421900	0.0069357747260368983215425200
lysobacter sp.	0.006699269779594024251356600	0	0.003599712023038156947444200	0.0033610809236250378121603900	0.0072376357056694813027744300	0.686098340762175911880702900	0	0
pediococcus pentosaceus	0	0	0	0.0011203603078750126040534600	0	0	0	0.0138715494520737966430850300
enterococcus sp.	0.0602934280163462182622094200	0.0542005420054200542005420100	0.3707703383729301655867530600	0.4727920499232553189105616400	0.0434258142340168878166465600	0.0233366782572168677510443200	0.0349218913696365795171466500	0.0242752115411291441253988100
anaerolineales	0	0	0	0.0011203603078750126040534600	0	0	0.0535469001001094219262915300	0
peptoniphilus asaccharolyticus	0.0401956186775641455081396100	0	0	0	0.1326899879372738238841978300	0.0093346713028867471004177300	0	0
ohtaekwangia spp.	0	0	0.1727861771058315334773218100	0	0	0	0	0
helcobacillus massiliensis	0	0.0542005420054200542005420100	0	0	0	0	0	0
chloroflexus spp.	0	0	0.0359971202303815694744420400	0.0011203603078750126040534600	0.0265379975874547647768395700	0.0210030104314951809759398800	0	0
cyanobacterium spp.	0	0	0	0	0	0	0.0116406304565455265057155500	0
brachybacterium arcticum	0	0	0	0.0011203603078750126040534600	0	0.0233366782572168677510443200	0.1047656741089097385514399500	0.0138715494520737966430850300
sphingomonas wittichii	0	0	0	0	0	0.0070010034771650603253132900	0	0
sphingobium sp.	0	0	0	0.0011203603078750126040534600	0	0.1960280973606216891087722600	0.0023281260913091053011431100	0.0034678873630184491607712600
