family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
phyllobacteriaceae	0.0736919675755342667649226200	0	0	0	0.0289505428226779252110977100	0.0536743599915987958274019300	0.0928936367858801672085462100	0
bacillales family x. incertae sedis	0.0267970791183760970054264100	0.0361336946702800361336946700	0.7127173247903243223786040800	0.0436930729674318556111988700	0.01688781664656212303980700	0.0560080278173204826025063600	7.3780771017185322805387830900	0.0381467609932029407684838400
eubacteriaceae	0	0	0	0.0011203352042931245028512500	0.0289505428226779252110977100	0.0070010034771650603253132900	0.3274500696702275894101254100	0
acidobacteriaceae	0	0	0	0	0	0	0.0650255457501161170459823500	0.0138715494520737966430850300
vibrionaceae	0	0	0	0	0	0.0396723530372686751767753400	0	0
enterococcaceae	3.9391706304012862597976820500	2.5474254742547425474254742500	93.20398833735286706742017926	97.60808433883417918641257464	0.8854041013268998793727382400	0.4527315581900072343702597400	11.339990710636321411983279150	0.5930087390761548064918851400
lachnospiraceae	0.0468948884571581697594962100	0	0	0.0011203352042931245028512500	0	0.0070010034771650603253132900	0	0.0034678873630184491607712600
thermodesulfobiaceae	0	0	0.010798747345307944278463700	0	0	0	0	0
prevotellaceae	0	0.0542005420054200542005420100	0	0	0.0024125452352231604342581400	0.0093346713028867471004177300	0.1045053413841151881096144900	0
carnobacteriaceae	0.0334963488979701212567830100	0.1806684733514001806684733500	0.2447716064936467369785104900	0.016805028064396867542768800	0.6224366706875753920386007200	0.2333667825721686775104431600	0.4389224338132837900603808600	0.0312109862671660424469413200
bifidobacteriaceae	0	0.0722673893405600722673893400	0.0827903963140275728015550200	0.0078423464300518715199587700	0.0579010856453558504221954200	0.0466733565144337355020886300	1.753367394333488156061309800	0.0069357747260368983215425200
methylobacteriaceae	0.0937897769143163395189924300	0.1626016260162601626016260200	0.021597494690615888556927400	0.0593777658275355986511164100	0.0410132689987937273823884200	0.1260180625889710858556393100	0.0696702275894101254064096600	7.1091690941878207795810792100
anaerolineaceae	0	0	0.010798747345307944278463700	0.0123236872472243695313637800	0.0048250904704463208685162800	0.0023336678257216867751044300	1.8369716674407803065490013900	0
ruminococcaceae	0	0.0903342366757000903342366800	0	0.0134440224515174940342150400	0.0096501809408926417370325700	0.0046673356514433735502088600	1.9182535996284254528564793300	0.0138715494520737966430850300
microbacteriaceae	0.013398539559188048502713200	0.0180668473351400180668473400	0.0359958244843598142615456600	0.0067220112257587470171075200	0.0120627261761158021712907100	0.0163356747800518074257310200	0.6154203437064561077566186700	0.1421833818837564155916215800
bacillales	0.0602934280163462182622094200	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1764979098931723176962378100	0
cryomorphaceae	0.0401956186775641455081396100	0	0.0359958244843598142615456600	0.0033610056128793735085537600	0	0	0.2066883418485833720390153300	0
pelobacteraceae	0	0	0	0	0	0	0.0069670227589410125406409700	0
oscillatoriales	0.0401956186775641455081396100	0.3432700993676603432700993700	0.0179979122421799071307728300	0.0280083801073281125712813300	4.5307599517490952955367913100	0.3803878555926349443420223600	0.0301904319554110543427775200	0.703981134692745179636565400
oxalobacteraceae	0.6900247872981844978897300200	1.0117434507678410117434507700	0.3239624203592383283539109500	0.3708309526210242104437647700	0.7189384800965018094089264200	0.5484119390445963921495414300	0.3924756154203437064561077600	76.456512692467748647523928420
thermoanaerobacterales family iii. incertae sedis	0	0	0.0035995824484359814261545700	0	0	0	0.150952159777055271713887600	0
streptococcaceae	0.4220539961144235278354659300	0.5781391147244805781391147200	0.413951981570137864007775100	0.0112033520429312450285125300	0.2605548854041013268998793700	0.2753728034351590394623229300	0.8499767765908035299581978600	0.0450825357192398390900263600
rubrobacteraceae	0	0	0	0	0	0	0.0441244774732930794240594500	0
competibacteraceae	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.3274500696702275894101254100	0
nocardiaceae	0.0267970791183760970054264100	0	0	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0350050173858253016265664700	0.2020436600092893636785880200	0.0104036620890553474823137700
salinisphaeraceae	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0910130452031457842290728300	0	0.0208073241781106949646275500
alphaproteobacteria	0.006699269779594024251356600	0	0	0	0	0	0.1764979098931723176962378100	0.0624219725343320848938826500
hydrogenophilaceae	0	0	0.010798747345307944278463700	0.0044813408171724980114050100	0.0024125452352231604342581400	0.0070010034771650603253132900	0.9126799814212726428239665600	0.0069357747260368983215425200
lactobacillaceae	0	0.0361336946702800361336946700	0.4859436305388574925308664200	0.0112033520429312450285125300	0.0675512665862484921592279900	0.0046673356514433735502088600	0.0394797956339990710636321400	0.1144402829796088223054515200
rhabdochlamydiaceae	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
iamiaceae	0	0	0	0	0	0.0023336678257216867751044300	0.0952159777055271713887598700	0.0034678873630184491607712600
cyanothecaceae	0	0	0.0035995824484359814261545700	0	0.0386007237635705669481302800	0	0	0
legionellaceae	0	0	0	0	0	0.0116683391286084338755221600	0	0
conexibacteraceae	0	0	0	0	0.0337756332931242460796139900	0.0046673356514433735502088600	0.0023223409196470041802136600	0
rhodospirillaceae	0	0	0	0.0044813408171724980114050100	0	0.1423537373690228932813703300	0.0487691593125870877844867600	0.2739631016784574837009293900
spiroplasmataceae	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
erythrobacteraceae	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0044813408171724980114050100	0.0144752714113389626055488500	0.0303376817343819280763576100	0.4087320018578727357176033400	0
comamonadaceae	0.1004890466939103637703490300	0.1264679313459801264679313500	0.2483711889420827184046650600	0.0235270392901556145598763100	0.0554885404101326899879372700	1.0198128398403771207206366200	0.7779842080817464003715745500	6.2352614787071715910667221500
pseudomonadaceae	0.4220539961144235278354659300	0.5058717253839205058717253800	0.2987653432201864583708289800	0.3473039133308685958838884600	0.5090470446320868516284680300	81.76471960981073953933397120	1.4746864839758476544356711600	0.4751005687335275350256623700
fusobacteriaceae	0	0.0722673893405600722673893400	0	0	0	0	0	0
